"","variable","lower","median","upper","distribution","label","Description"
"1","Paddy_yield",3,NA,8,"posnorm","(ton/ha)","Yield_in_a_rice_farm_under_normal_condition"
"2","Soybean_yield",1,NA,5,"posnorm","(ton/ha)","Yield_in_a_soybean_farm_under_normal_condition"
"3","Chili_yield",5,NA,10,"posnorm","(ton/ha)","Yield_in_a_chili_farm_under_normal_condition"
"4","Market_price (rice)",4000,NA,15000,"posnorm","(IDR/kg)","Price_of_paddy_in_a_normal_season"
"5","Market_price (soybean)",10000,NA,20000,"posnorm","(IDR/kg)","Price_of_soybean_in_a_normal_season"
"6","Market_price (chili)",20000,NA,2e+05,"posnorm","(IDR/kg)","Price_of_chili_in_a_normal_season"
"7","Cost_of_labor",30000,NA,1e+05,"posnorm","(IDR/person/day)","Labor costs for every farm under normal condition"
"8","Cost_of_rice_seeds",1500,NA,9000,"posnorm","(IDR/kg)","Seed_costs_for_rice"
"9","cost_of_soybean_seeds",5000,NA,10000,"posnorm","(IDR/kg)","Seed_costs_for_soybean"
"10","cost_of_chili_seeds",3000,NA,12000,"posnorm","(IDR/kg)","Seed_costs_for_chili"
"11","cost_of_pesticides",1500,NA,5000,"posnorm","(IDR/kg)","Pesticides_costs_for_every_farm_under_normal_condition"
"12","cost_of_machinery",5e+05,NA,2e+06,"posnorm","(IDR/day)","Machinery_costs_for_every_farm_under_normal_condition"
"13","cost_of_harvesting",1e+05,NA,1e+06,"posnorm","(IDR/day)","Harvesting_costs_for_every_farm_under_normal_condition"
